CST,UT,IQ,CC,WV,Notes
2025-07-04,2025-07-05,ANY,ANY,,
2025-07-05,2025-07-06,ANY,50,,
2025-07-06,2025-07-07,ANY,50,,
2025-07-07,2025-07-08,85,50,,
2025-07-08,2025-07-09,85,50,,
2025-07-09,2025-07-10,20,50,,
2025-07-10,2025-07-11,85,70,,
2025-07-11,2025-07-12,70,50,,
2025-07-12,2025-07-13,70,70,,
2025-07-13,2025-07-14,70,50,,
2025-07-14,2025-07-15,70,50,,
2025-07-15,2025-07-16,ANY,ANY,,
2025-07-16,2025-07-17,70,50,,
2025-07-17,2025-07-18,ANY,ANY,,
2025-07-18,2025-07-19,ANY,ANY,,
2025-07-19,2025-07-20,ANY,ANY,,
2025-07-20,2025-07-21,20,50,,
2025-07-21,2025-07-22,ANY,ANY,,
2025-07-22,2025-07-23,ANY,80,,
2025-07-23,2025-07-24,ANY,80,,
2025-07-24,2025-07-25,85,50,,
2025-07-25,2025-07-26,ANY,50,,
2025-07-26,2025-07-27,ANY,ANY,,
2025-07-27,2025-07-28,ANY,ANY,,
2025-07-28,2025-07-29,ANY,ANY,,
2025-07-29,2025-07-30,85,80,,
2025-07-30,2025-07-31,85,70,,
2025-07-31,2025-08-01,85,80,,
2025-08-01,2025-08-02,ANY,50,
2025-08-02,2025-08-03,ANY,ANY,
2025-08-03,2025-08-04,85,50,
2025-08-04,2025-08-05,70,50,
2025-08-05,2025-08-06,ANY,ANY,
2025-08-06,2025-08-07,ANY,50,
2025-08-07,2025-08-08,70,50,
2025-08-08,2025-08-09,85,70,
2025-08-09,2025-08-10,70,50,
2025-08-10,2025-08-11,70,50,
2025-08-11,2025-08-12,70,50,
2025-08-12,2025-08-13,ANY,ANY,
2025-08-13,2025-08-14,85,80,
2025-08-14,2025-08-15,70,50,
2025-08-15,2025-08-16,70,50,
2025-08-16,2025-08-17,70,50,
2025-08-17,2025-08-18,ANY,50,
2025-08-18,2025-08-19,ANY,80,
2025-08-19,2025-08-20,na,na,SHUTDOWN
2025-08-20,2025-08-21,na,na,SHUTDOWN
2025-08-21,2025-08-22,na,na,SHUTDOWN
2025-08-22,2025-08-23,na,na,SHUTDOWN
2025-08-23,2025-08-24,na,na,SHUTDOWN
2025-08-24,2025-08-25,na,na,SHUTDOWN
2025-08-25,2025-08-26,na,na,SHUTDOWN
2025-08-26,2025-08-27,na,na,SHUTDOWN
2025-08-27,2025-08-28,na,na,SHUTDOWN
2025-08-28,2025-08-29,na,na,SHUTDOWN
2025-08-29,2025-08-30,na,na,SHUTDOWN
2025-08-30,2025-08-31,na,na,SHUTDOWN
2025-08-31,2025-09-01,ANY,ANY,
2025-09-01,2025-09-02,70,50,
2025-09-02,2025-09-03,70,50,
2025-09-03,2025-09-04,70,50,
2025-09-04,2025-09-05,20,50,
2025-09-05,2025-09-06,70,50,
2025-09-06,2025-09-07,20,50,
2025-09-07,2025-09-08,70,50,
2025-09-08,2025-09-09,70,50,
2025-09-09,2025-09-10,70,50,
2025-09-10,2025-09-11,70,70,
2025-09-11,2025-09-12,70,80,
2025-09-12,2025-09-13,85,50,
2025-09-13,2025-09-14,85,50,
2025-09-14,2025-09-15,70,50,
2025-09-15,2025-09-16,70,50,
2025-09-16,2025-09-17,70,50,
2025-09-17,2025-09-18,ANY,ANY,
2025-09-18,2025-09-19,ANY,70,
2025-09-19,2025-09-20,ANY,ANY,
2025-09-20,2025-09-21,70,70,
2025-09-21,2025-09-22,70,50,
2025-09-22,2025-09-23,70,50,
2025-09-23,2025-09-24,70,70,
2025-09-24,2025-09-25,ANY,ANY,
2025-09-25,2025-09-26,ANY,ANY,
2025-09-26,2025-09-27,ANY,ANY,
2025-09-27,2025-09-28,ANY,ANY,
2025-09-28,2025-09-29,85,50,
2025-09-29,2025-09-30,ANY,ANY,
2025-09-30,2025-10-01,ANY,ANY,
2025-10-01,2025-10-02,70,50,
2025-10-02,2025-10-03,70,50,
2025-10-03,2025-10-04,70,80,
2025-10-04,2025-10-05,85,80,
2025-10-05,2025-10-06,85,ANY,
2025-10-06,2025-10-07,70,50,
2025-10-07,2025-10-08,ANY,ANY,
2025-10-08,2025-10-09,ANY,ANY,
2025-10-09,2025-10-10,ANY,ANY,
2025-10-10,2025-10-11,ANY,ANY,
2025-10-11,2025-10-12,ANY,ANY,
2025-10-12,2025-10-13,na,na,
2025-10-13,2025-10-14,ANY,ANY,
2025-10-14,2025-10-15,70,50,
2025-10-15,2025-10-16,70,50,
2025-10-16,2025-10-17,ANY,50,
2025-10-17,2025-10-18,70,50,
2025-10-18,2025-10-19,85,50,
2025-10-19,2025-10-20,ANY,50,
2025-10-20,2025-10-21,85,ANY,
2025-10-21,2025-10-22,70,50,
2025-10-22,2025-10-23,85,50,
2025-10-23,2025-10-24,ANY,50,
2025-10-24,2025-10-25,70,70,
2025-10-25,2025-10-26,ANY,50,
2025-10-26,2025-10-27,70,70,
2025-10-27,2025-10-28,70,70,
2025-10-28,2025-10-29,ANY,ANY,
2025-10-29,2025-10-30,ANY,ANY,
2025-10-30,2025-10-31,ANY,ANY,
2025-10-31,2025-11-01,85,ANY,
2025-11-01,2025-11-02,20,50,
2025-11-02,2025-11-03,70,50,
2025-11-03,2025-11-04,70,50,
2025-11-04,2025-11-05,20,50,
2025-11-05,2025-11-06,70,50,
2025-11-06,2025-11-07,70,50,
2025-11-07,2025-11-08,20,50,
2025-11-08,2025-11-09,70,50,
2025-11-09,2025-11-10,85,70,
2025-11-10,2025-11-11,ANY,80,
2025-11-11,2025-11-12,ANY,ANY,
2025-11-12,2025-11-13,ANY,ANY,
